Location,ParentLocation,PM25_Value,Average_PM25
Togo,Africa,33.87,29.812282051282054
Gabon,Africa,33.96,29.812282051282054
Guinea,Africa,34.17,29.812282051282054
Gambia,Africa,34.42,29.812282051282054
Central African Republic,Africa,34.65,29.812282051282054
Mali,Africa,34.75,29.812282051282054
Guinea-Bissau,Africa,34.82,29.812282051282054
Guinea-Bissau,Africa,34.85,29.812282051282054
Gambia,Africa,34.91,29.812282051282054
Guinea,Africa,35.01,29.812282051282054
Mauritania,Africa,35.07,29.812282051282054
Rwanda,Africa,35.25,29.812282051282054
Rwanda,Africa,35.48,29.812282051282054
Senegal,Africa,35.53,29.812282051282054
Rwanda,Africa,35.66,29.812282051282054
Togo,Africa,35.66,29.812282051282054
Rwanda,Africa,35.72,29.812282051282054
Liberia,Africa,35.8,29.812282051282054
Cote d'Ivoire,Africa,36.04,29.812282051282054
Cote d'Ivoire,Africa,36.04,29.812282051282054
Sao Tome and Principe,Africa,36.24,29.812282051282054
Sao Tome and Principe,Africa,36.46,29.812282051282054
Congo,Africa,36.49,29.812282051282054
Mali,Africa,36.54,29.812282051282054
Sierra Leone,Africa,36.64,29.812282051282054
Democratic Republic of the Congo,Africa,37.44,29.812282051282054
Guinea,Africa,37.57,29.812282051282054
Senegal,Africa,37.58,29.812282051282054
Congo,Africa,37.81,29.812282051282054
Togo,Africa,37.88,29.812282051282054
Burkina Faso,Africa,38.0,29.812282051282054
Rwanda,Africa,38.18,29.812282051282054
Sierra Leone,Africa,38.19,29.812282051282054
Senegal,Africa,38.21,29.812282051282054
Burkina Faso,Africa,38.47,29.812282051282054
Mali,Africa,38.55,29.812282051282054
Mauritania,Africa,38.62,29.812282051282054
Chad,Africa,38.74,29.812282051282054
Uganda,Africa,39.01,29.812282051282054
Gambia,Africa,39.1,29.812282051282054
Democratic Republic of the Congo,Africa,39.29,29.812282051282054
Sierra Leone,Africa,39.42,29.812282051282054
Togo,Africa,39.42,29.812282051282054
Congo,Africa,39.96,29.812282051282054
Guinea-Bissau,Africa,40.06,29.812282051282054
Cote d'Ivoire,Africa,40.41,29.812282051282054
Liberia,Africa,40.53,29.812282051282054
Ghana,Africa,40.58,29.812282051282054
Burkina Faso,Africa,40.74,29.812282051282054
Chad,Africa,41.15,29.812282051282054
Gambia,Africa,41.4,29.812282051282054
Liberia,Africa,41.88,29.812282051282054
Mauritania,Africa,41.98,29.812282051282054
Senegal,Africa,42.18,29.812282051282054
Guinea,Africa,42.38,29.812282051282054
Guinea-Bissau,Africa,42.65,29.812282051282054
Chad,Africa,42.97,29.812282051282054
Sierra Leone,Africa,43.32,29.812282051282054
Ghana,Africa,43.37,29.812282051282054
Gambia,Africa,43.5,29.812282051282054
Senegal,Africa,44.35,29.812282051282054
Mali,Africa,45.06,29.812282051282054
Guinea,Africa,45.36,29.812282051282054
Sierra Leone,Africa,45.42,29.812282051282054
Burkina Faso,Africa,46.04,29.812282051282054
Ghana,Africa,46.04,29.812282051282054
Cote d'Ivoire,Africa,46.58,29.812282051282054
Mali,Africa,48.51,29.812282051282054
Niger,Africa,48.67,29.812282051282054
Niger,Africa,50.15,29.812282051282054
Ghana,Africa,50.42,29.812282051282054
Niger,Africa,50.75,29.812282051282054
Burkina Faso,Africa,51.29,29.812282051282054
Mauritania,Africa,51.29,29.812282051282054
Cameroon,Africa,53.31,29.812282051282054
Chad,Africa,54.01,29.812282051282054
Cote d'Ivoire,Africa,54.06,29.812282051282054
Nigeria,Africa,54.56,29.812282051282054
Ghana,Africa,54.63,29.812282051282054
Mauritania,Africa,54.7,29.812282051282054
Nigeria,Africa,55.33,29.812282051282054
Niger,Africa,55.52,29.812282051282054
Nigeria,Africa,55.64,29.812282051282054
Nigeria,Africa,56.02,29.812282051282054
Cameroon,Africa,56.37,29.812282051282054
Nigeria,Africa,56.48,29.812282051282054
Niger,Africa,59.53,29.812282051282054
Cameroon,Africa,60.52,29.812282051282054
Chad,Africa,60.7,29.812282051282054
Cameroon,Africa,61.63,29.812282051282054
Cameroon,Africa,62.02,29.812282051282054
Mauritius,Africa,9.89,29.812282051282054
Kenya,Africa,10.02,29.812282051282054
Mauritius,Africa,10.45,29.812282051282054
Mauritius,Africa,10.45,29.812282051282054
Mauritius,Africa,10.47,29.812282051282054
Namibia,Africa,10.92,29.812282051282054
Mauritius,Africa,11.1,29.812282051282054
Namibia,Africa,11.88,29.812282051282054
Kenya,Africa,12.38,29.812282051282054
Zimbabwe,Africa,12.4,29.812282051282054
Namibia,Africa,12.44,29.812282051282054
Kenya,Africa,12.58,29.812282051282054
Botswana,Africa,12.62,29.812282051282054
Kenya,Africa,12.75,29.812282051282054
Botswana,Africa,12.95,29.812282051282054
Zimbabwe,Africa,13.12,29.812282051282054
Zimbabwe,Africa,13.16,29.812282051282054
Namibia,Africa,13.17,29.812282051282054
Namibia,Africa,14.02,29.812282051282054
Botswana,Africa,14.08,29.812282051282054
Comoros,Africa,14.08,29.812282051282054
South Africa,Africa,14.22,29.812282051282054
Kenya,Africa,14.39,29.812282051282054
Comoros,Africa,14.42,29.812282051282054
Comoros,Africa,14.42,29.812282051282054
Zimbabwe,Africa,14.48,29.812282051282054
United Republic of Tanzania,Africa,14.52,29.812282051282054
Comoros,Africa,14.53,29.812282051282054
Botswana,Africa,14.64,29.812282051282054
Eswatini,Africa,14.66,29.812282051282054
Comoros,Africa,14.75,29.812282051282054
Madagascar,Africa,14.86,29.812282051282054
Eswatini,Africa,14.95,29.812282051282054
Zimbabwe,Africa,14.98,29.812282051282054
Botswana,Africa,15.02,29.812282051282054
United Republic of Tanzania,Africa,15.41,29.812282051282054
Eswatini,Africa,15.57,29.812282051282054
Eswatini,Africa,15.79,29.812282051282054
Seychelles,Africa,15.84,29.812282051282054
United Republic of Tanzania,Africa,16.0,29.812282051282054
Madagascar,Africa,16.14,29.812282051282054
United Republic of Tanzania,Africa,16.16,29.812282051282054
Eswatini,Africa,16.18,29.812282051282054
Zambia,Africa,16.19,29.812282051282054
Mozambique,Africa,16.23,29.812282051282054
United Republic of Tanzania,Africa,16.29,29.812282051282054
Mozambique,Africa,16.35,29.812282051282054
Seychelles,Africa,16.48,29.812282051282054
Mozambique,Africa,16.68,29.812282051282054
Madagascar,Africa,16.83,29.812282051282054
Seychelles,Africa,16.95,29.812282051282054
Seychelles,Africa,16.95,29.812282051282054
Zambia,Africa,16.99,29.812282051282054
South Africa,Africa,17.0,29.812282051282054
Lesotho,Africa,17.2,29.812282051282054
Zambia,Africa,17.37,29.812282051282054
Lesotho,Africa,17.57,29.812282051282054
Mozambique,Africa,17.72,29.812282051282054
Lesotho,Africa,17.8,29.812282051282054
Malawi,Africa,18.21,29.812282051282054
Madagascar,Africa,18.53,29.812282051282054
Malawi,Africa,18.53,29.812282051282054
Malawi,Africa,18.61,29.812282051282054
Mozambique,Africa,18.74,29.812282051282054
Lesotho,Africa,18.8,29.812282051282054
Zambia,Africa,18.95,29.812282051282054
South Africa,Africa,19.52,29.812282051282054
Zambia,Africa,19.55,29.812282051282054
Malawi,Africa,20.26,29.812282051282054
Lesotho,Africa,20.75,29.812282051282054
Malawi,Africa,20.93,29.812282051282054
Madagascar,Africa,21.05,29.812282051282054
Ethiopia,Africa,21.31,29.812282051282054
South Africa,Africa,21.41,29.812282051282054
Algeria,Africa,21.72,29.812282051282054
South Sudan,Africa,21.86,29.812282051282054
South Sudan,Africa,21.94,29.812282051282054
South Sudan,Africa,22.12,29.812282051282054
Ethiopia,Africa,22.23,29.812282051282054
Angola,Africa,22.37,29.812282051282054
Algeria,Africa,22.53,29.812282051282054
Ethiopia,Africa,22.64,29.812282051282054
Algeria,Africa,22.73,29.812282051282054
Eritrea,Africa,22.77,29.812282051282054
Gabon,Africa,22.79,29.812282051282054
Algeria,Africa,22.84,29.812282051282054
Eritrea,Africa,22.98,29.812282051282054
Congo,Africa,23.11,29.812282051282054
South Sudan,Africa,23.2,29.812282051282054
Ethiopia,Africa,23.35,29.812282051282054
South Africa,Africa,23.41,29.812282051282054
Eritrea,Africa,23.67,29.812282051282054
Algeria,Africa,23.74,29.812282051282054
Ethiopia,Africa,23.92,29.812282051282054
South Sudan,Africa,23.96,29.812282051282054
Eritrea,Africa,24.04,29.812282051282054
Eritrea,Africa,24.5,29.812282051282054
Angola,Africa,25.85,29.812282051282054
Equatorial Guinea,Africa,26.06,29.812282051282054
Gabon,Africa,26.26,29.812282051282054
Burundi,Africa,26.32,29.812282051282054
Equatorial Guinea,Africa,26.38,29.812282051282054
Central African Republic,Africa,26.41,29.812282051282054
Angola,Africa,27.28,29.812282051282054
Cabo Verde,Africa,27.39,29.812282051282054
Central African Republic,Africa,27.48,29.812282051282054
Equatorial Guinea,Africa,27.57,29.812282051282054
Burundi,Africa,27.98,29.812282051282054
Burundi,Africa,27.98,29.812282051282054
Central African Republic,Africa,28.25,29.812282051282054
Equatorial Guinea,Africa,28.3,29.812282051282054
Burundi,Africa,28.36,29.812282051282054
Burundi,Africa,29.0,29.812282051282054
Democratic Republic of the Congo,Africa,29.02,29.812282051282054
Congo,Africa,29.27,29.812282051282054
Sao Tome and Principe,Africa,29.46,29.812282051282054
Gabon,Africa,29.59,29.812282051282054
Uganda,Africa,29.97,29.812282051282054
Equatorial Guinea,Africa,30.33,29.812282051282054
Uganda,Africa,30.5,29.812282051282054
Angola,Africa,31.13,29.812282051282054
Cabo Verde,Africa,31.2,29.812282051282054
Democratic Republic of the Congo,Africa,31.46,29.812282051282054
Benin,Africa,31.53,29.812282051282054
Uganda,Africa,31.73,29.812282051282054
Sao Tome and Principe,Africa,31.83,29.812282051282054
Angola,Africa,32.01,29.812282051282054
Liberia,Africa,32.1,29.812282051282054
Benin,Africa,32.21,29.812282051282054
Benin,Africa,32.34,29.812282051282054
Benin,Africa,32.48,29.812282051282054
Guinea-Bissau,Africa,32.52,29.812282051282054
Cabo Verde,Africa,32.52,29.812282051282054
Uganda,Africa,32.66,29.812282051282054
Gabon,Africa,32.68,29.812282051282054
Cabo Verde,Africa,32.77,29.812282051282054
Liberia,Africa,33.1,29.812282051282054
Cabo Verde,Africa,33.23,29.812282051282054
Benin,Africa,33.28,29.812282051282054
Central African Republic,Africa,33.52,29.812282051282054
Gabon,Africa,33.68,29.812282051282054
Sao Tome and Principe,Africa,33.84,29.812282051282054
Democratic Republic of the Congo,Africa,33.84,29.812282051282054
Guinea,Africa,34.48,29.812282051282054
Rwanda,Africa,34.57,29.812282051282054
Rwanda,Africa,34.65,29.812282051282054
Togo,Africa,34.88,29.812282051282054
Rwanda,Africa,34.92,29.812282051282054
Togo,Africa,34.99,29.812282051282054
Rwanda,Africa,35.01,29.812282051282054
Gambia,Africa,35.26,29.812282051282054
Congo,Africa,35.42,29.812282051282054
Guinea,Africa,35.52,29.812282051282054
Liberia,Africa,35.68,29.812282051282054
Gambia,Africa,35.78,29.812282051282054
Guinea-Bissau,Africa,35.84,29.812282051282054
Mauritania,Africa,35.89,29.812282051282054
Guinea-Bissau,Africa,35.9,29.812282051282054
Mali,Africa,36.01,29.812282051282054
Central African Republic,Africa,36.25,29.812282051282054
Sao Tome and Principe,Africa,36.32,29.812282051282054
Senegal,Africa,36.46,29.812282051282054
Sierra Leone,Africa,36.49,29.812282051282054
Sao Tome and Principe,Africa,36.54,29.812282051282054
Togo,Africa,36.83,29.812282051282054
Congo,Africa,36.85,29.812282051282054
Democratic Republic of the Congo,Africa,37.28,29.812282051282054
Rwanda,Africa,37.4,29.812282051282054
Cote d'Ivoire,Africa,37.51,29.812282051282054
Cote d'Ivoire,Africa,37.55,29.812282051282054
Mali,Africa,37.8,29.812282051282054
Guinea,Africa,37.96,29.812282051282054
Sierra Leone,Africa,38.03,29.812282051282054
Senegal,Africa,38.35,29.812282051282054
Democratic Republic of the Congo,Africa,38.98,29.812282051282054
Togo,Africa,39.04,29.812282051282054
Senegal,Africa,39.08,29.812282051282054
Burkina Faso,Africa,39.1,29.812282051282054
Uganda,Africa,39.14,29.812282051282054
Congo,Africa,39.23,29.812282051282054
Sierra Leone,Africa,39.46,29.812282051282054
Burkina Faso,Africa,39.55,29.812282051282054
Mauritania,Africa,39.55,29.812282051282054
Mali,Africa,39.82,29.812282051282054
Gambia,Africa,39.86,29.812282051282054
Chad,Africa,40.17,29.812282051282054
Togo,Africa,40.63,29.812282051282054
Liberia,Africa,40.88,29.812282051282054
Guinea-Bissau,Africa,41.18,29.812282051282054
Burkina Faso,Africa,41.77,29.812282051282054
Cote d'Ivoire,Africa,41.81,29.812282051282054
Gambia,Africa,42.14,29.812282051282054
Liberia,Africa,42.38,29.812282051282054
Ghana,Africa,42.42,29.812282051282054
Mauritania,Africa,42.58,29.812282051282054
Chad,Africa,42.61,29.812282051282054
Guinea,Africa,42.91,29.812282051282054
Senegal,Africa,42.95,29.812282051282054
Sierra Leone,Africa,43.65,29.812282051282054
Guinea-Bissau,Africa,43.84,29.812282051282054
Gambia,Africa,44.24,29.812282051282054
Chad,Africa,44.84,29.812282051282054
Senegal,Africa,45.12,29.812282051282054
Ghana,Africa,45.3,29.812282051282054
Guinea,Africa,45.94,29.812282051282054
Sierra Leone,Africa,45.95,29.812282051282054
Mali,Africa,46.49,29.812282051282054
Burkina Faso,Africa,46.98,29.812282051282054
Cote d'Ivoire,Africa,47.8,29.812282051282054
Ghana,Africa,48.04,29.812282051282054
Niger,Africa,49.23,29.812282051282054
Mali,Africa,50.11,29.812282051282054
Niger,Africa,50.74,29.812282051282054
Niger,Africa,51.35,29.812282051282054
Mauritania,Africa,51.72,29.812282051282054
Burkina Faso,Africa,52.3,29.812282051282054
Ghana,Africa,52.6,29.812282051282054
Cameroon,Africa,54.86,29.812282051282054
Mauritania,Africa,55.07,29.812282051282054
Cote d'Ivoire,Africa,55.1,29.812282051282054
Nigeria,Africa,55.13,29.812282051282054
Chad,Africa,55.54,29.812282051282054
Nigeria,Africa,55.99,29.812282051282054
Niger,Africa,56.22,29.812282051282054
Nigeria,Africa,56.52,29.812282051282054
Ghana,Africa,57.02,29.812282051282054
Nigeria,Africa,57.17,29.812282051282054
Nigeria,Africa,57.28,29.812282051282054
Cameroon,Africa,57.8,29.812282051282054
Niger,Africa,60.28,29.812282051282054
Chad,Africa,62.05,29.812282051282054
Cameroon,Africa,62.27,29.812282051282054
Cameroon,Africa,62.95,29.812282051282054
Cameroon,Africa,63.19,29.812282051282054
Mauritius,Africa,9.86,29.812282051282054
Kenya,Africa,10.04,29.812282051282054
Mauritius,Africa,10.35,29.812282051282054
Mauritius,Africa,10.35,29.812282051282054
Mauritius,Africa,10.39,29.812282051282054
Mauritius,Africa,11.0,29.812282051282054
Namibia,Africa,11.06,29.812282051282054
Namibia,Africa,11.98,29.812282051282054
Kenya,Africa,12.34,29.812282051282054
Zimbabwe,Africa,12.41,29.812282051282054
Kenya,Africa,12.51,29.812282051282054
Namibia,Africa,12.57,29.812282051282054
Kenya,Africa,12.65,29.812282051282054
Botswana,Africa,12.79,29.812282051282054
Botswana,Africa,13.11,29.812282051282054
Zimbabwe,Africa,13.13,29.812282051282054
Zimbabwe,Africa,13.15,29.812282051282054
Namibia,Africa,13.23,29.812282051282054
Comoros,Africa,13.93,29.812282051282054
Namibia,Africa,14.0,29.812282051282054
South Africa,Africa,14.16,29.812282051282054
Botswana,Africa,14.27,29.812282051282054
Comoros,Africa,14.29,29.812282051282054
Kenya,Africa,14.29,29.812282051282054
Comoros,Africa,14.3,29.812282051282054
United Republic of Tanzania,Africa,14.33,29.812282051282054
Comoros,Africa,14.41,29.812282051282054
Eswatini,Africa,14.49,29.812282051282054
Zimbabwe,Africa,14.55,29.812282051282054
Comoros,Africa,14.63,29.812282051282054
Madagascar,Africa,14.69,29.812282051282054
Eswatini,Africa,14.78,29.812282051282054
Botswana,Africa,14.78,29.812282051282054
Zimbabwe,Africa,15.09,29.812282051282054
Botswana,Africa,15.11,29.812282051282054
United Republic of Tanzania,Africa,15.2,29.812282051282054
Eswatini,Africa,15.39,29.812282051282054
Eswatini,Africa,15.6,29.812282051282054
Seychelles,Africa,15.73,29.812282051282054
United Republic of Tanzania,Africa,15.82,29.812282051282054
Mozambique,Africa,15.82,29.812282051282054
Madagascar,Africa,15.86,29.812282051282054
United Republic of Tanzania,Africa,15.94,29.812282051282054
Mozambique,Africa,15.96,29.812282051282054
Eswatini,Africa,15.98,29.812282051282054
United Republic of Tanzania,Africa,16.03,29.812282051282054
Zambia,Africa,16.21,29.812282051282054
Mozambique,Africa,16.26,29.812282051282054
Seychelles,Africa,16.37,29.812282051282054
Madagascar,Africa,16.47,29.812282051282054
Seychelles,Africa,16.83,29.812282051282054
Seychelles,Africa,16.83,29.812282051282054
South Africa,Africa,16.91,29.812282051282054
Zambia,Africa,16.99,29.812282051282054
Lesotho,Africa,17.14,29.812282051282054
Mozambique,Africa,17.28,29.812282051282054
Zambia,Africa,17.39,29.812282051282054
Lesotho,Africa,17.53,29.812282051282054
Lesotho,Africa,17.75,29.812282051282054
Madagascar,Africa,18.09,29.812282051282054
